Hydropower Station Name,Database Status,ID,Country,ISO,Reservoir Name,Lake Name,Purpose,Admin_unit,Owner ,Near_city,District ,River,Main_basin,Catch_Area ,Op_Status,Comissioned,DamComplete,No_Units,Dam_hgt ,WaterHeadhgt( max),WaterHeadHgt (min),Res_capacityMm3,Res_area km2,HPP_elec_cap,Transm_exist,Transm_length,Transm_planned,Hydropower_Type,Ann_firm_gen,Ann_tot_gen,Lat (reservoir/dam),Long (reservoir/dam),Lat (hydropower station 1),Long (hydropower station 1),Lat (hydropower station 2),Long (hydropower station 2),Display,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8,Reference 9,Reference 10,Comment,Column1
Almatti,Matched with hydro station,87,India,IND,Almatti ,,"Irrigation, Hydropower",Karnataka,Karnataka Power Corporation Ltd. (KPCL),Bijapur,Bijapur ,Krishna,Krishna River ,,Operational ,Operational since 1999,1999,6,52.24,,,6420,487.87,290,110,,,Storage,,483,16.331,75.886841,16.327774,75.885732,,,"Matched Dams, Stations and Reservoirs",http://www.kbjnl.karnataka.gov.in/kbjnlenglish/Comp-Dam-Almatti,http://www.indiaenvironmentportal.org.in/files/file/NRLD%202018.pdf,https://bagalkot.nic.in/en/tourist-place/almatti-dam/,,,,,,,,"The storage implies the gross storage capacity [Mm3]. The information is taken from the National Register of Large  pg 51. The 290 MW power station is located on the right side of the Almatti Dam. The facility uses vertical kaplan turbines: five 55MW generators and 15MW generator. Two separate facilities namely, Almatti 1 Powerhouse and Almatti II Powerhouse each separated by distance do provide power generation capabilities. Almatti dam is the main reservoir of the Upper Krishna Project, an irrigation project. Almatti Hydro Power Plant is commissioned in July 2005  an approved capacity of 290 MW. The type of power house is 'Power House on Right Toe of Dam'.",
Bhadra,Matched with hydro station,35,India,IND,Bhadra,,Multi-purpose,Karnataka,Karnataka Power Corporation Ltd. (KPCL),Nakhatarna,,Local Stream,,1968,Operational ,Operational since 1965,1965,5,76.81,71.63,59.13,2025.87,117.25,39.2,66,,11,Storage,,123,13.701476,75.636731,13.701476,75.636731,,,"Matched Dams, Stations and Reservoirs",http://waterresources.kar.nic.in/salient_features_badrareservoir.htm,http://wikimapia.org/653618/Bhadra-Dam-Reservoir,http://www.fao.org/3/a-ap437e.pdf,http://karnatakapower.com/en/hydel/,http://karnatakapower.com/wp-content/uploads/2014/03/trans_kpcl.pdf?x86893,,,,,,"There are three power houses, located on the right, left and bank canals. Bhadra Dam Right Bank Power House: one unit of 7.2 MW cpacity coupled to a Kaplan-type; 1*6MW [ 1*7.2MW + 1*6MW = 13.20 MW]. Bhadra Dam Left Bank Power House - 2*12MW +1*2MW=26MW, a Horizontal Francis design. ",
Hidkal,Matched with hydro station,56,India,IND,Raja Lakama gouda ,,"Irrigation, Hydropower",Karnataka,Karnataka Power Corporation Ltd. (KPCL),Belgaum,Belagavi,Ghataprabha,Karishna ,,Operational ,Operational since 1977,1977,2,62.48,,,1444.32,78.036,32,132,,,Storage ,,131,16.1424,74.6447,16.1424,74.6447,,,"Matched Dams, Stations and Reservoirs",http://wikimapia.org/11834474/Hidkal-Reservoir,https://www.researchgate.net/publication/321154079_Linear_programming_approach_for_optimal_land_and_water_resource_allocation_under_different_hydrological_scenarios/figures?lo=1,http://globalenergyobservatory.org/geoid/44632,file:///C:/Users/pannei.eiphyoe/Downloads/NRLD_2002.pdf,,,,,,,"Hidkal dam, is also known as the Raja Lakhamagouda dam. The  reservoir capacity is recognized as 51.16 Tmcft. The power station has 2 unit(s). The first unit was commissioned in 1992 and the last in 1992. The values of the reservoir areas may be low quality; Construction: Rockfill/Earth/Gravity.Masonry; Dam length (m): 10183; Volume content (103m3): 14072; Spillway cap: 4615; Capacity used was ""Gross storage capactiy (km3)""",
Kalindi & Supa DPH,Matched with hydro station,164,India,IND,Kalindi Supa,,Hydropower,Karnataka,Karnataka Power Corporation Ltd. (KPCL),Dandeli,Joida Taluk ,Kalinadi,,"1,057",Operational ,Operational since 1987,1987,6+2,101,,,4178,123,955,220/33,,,Storage ,,3927,15.2761,74.5268,15.27597,74.527685,,,"Matched Dams, Stations and Reservoirs",https://www.karnataka.com/dandeli/supa-dam/,http://cea.nic.in/reports/others/god/opm/generation19_20.pdf,http://globalenergyobservatory.org/geoid/3786,http://karnatakapower.com/en/portfolio/supa-dam/,,,,,,,"The Supa Dam is a power house at the foot of this dam  two electric generator. They are of 50 Megawatts each. IN 1985, the power house was commissioned. The type of dam is Earthern Dam  Left Bank spillway.  Total annual power generation is taken from CEA 2019-2020 reprt. Transmission emission is taken from the 2019 CEA monthly transmission report page 48. The value is addressed as voltage Ratio(KV/KV)",
Sharavathy (Linganamakki),Matched with hydro station,121,India,IND,Linganamakki Reservoir,,Hydropower,Karnataka,Karnataka Power Corporation Ltd. (KPCL),Shimoga,,Sharavathy,,,Operational ,Operational since 1965,1965,2,61.28,,,4440,317.28,56.2,110,,,Storage,,,14.175748,74.846369,14.170308,74.838792,,,"Matched Dams, Stations and Reservoirs",http://www.cea.nic.in/reports/annual/hydroreview/hydro_review-2018.pdf,,,,,,,,,,,
Nugu,Matched with hydro station,15,India,IND,Nugu Dam Reservoir,,"Irrigation, Hydropower",Karnataka,"Water Resources Department, Government  of Karnataka",H. D. Kote,Mysore ,Nugu,Kaveri ,308,Operational ,Operational since 1959,1959,4,43.58,,,154.042,14.129,3,66,8,,Storage ,,,11.97645,76.444567,11.975083,76.44568,,,"Matched Dams, Stations and Reservoirs",http://wikimapia.org/16742532/Power-Station,https://www.karnataka.com/mysore/nugu-dam/,http://waterresources.kar.nic.in/salient_features_nugu.htm,file:///C:/Users/pannei.eiphyoe/Downloads/NRLD_2002.pdf,,,,,,,The Nugu dam has a 3MW Nugu Mini Hydro Project. The project uses the pressure difference between the esisting reservoir in Nugu and the channel located below it to produce electricity in 4 different turbines.,
Bommanahalli Pickup,"Part of cascade system, not directly linked to hydro station",153,India,IND,,,Hydropower,Karnataka,,Dandeli,,Kalinadi,,,,Operational since 1979,,,28.96,,,96.9,15.53,,,,,Storage,,,15.16345,74.698329,,,,,"Excluded as part of cascade complex, not linked to power house",http://www.newindianexpress.com/states/karnataka/2010/aug/28/the-thirsty-dams-of-uttara-kannada-181835.html,,,,,,,,,,"Part of Kalindi project. The Kali Hydro Electric project consists of five dams - Supa gravity dam (101 m), Kodasalli Dam, Kadra Dam, Bommanahalli pickup dam from where water is diverted to the Nagzari power house, and Tattihalla storage dam. The Tattahalli storgae dam replenishes the Bommanahalli Dam and helps integrate operations of other reservoirs.",
Thatti Halla,"Part of cascade system, not directly linked to hydro station",63,India,IND,,,"Irrigation, Hydropower",Karnataka,,Dandeli,Uuara Kannada ,Kalinadi,,,,Operational since 1979,1979,,42,,,264.03,27,,,,,Storage,,,15.116846,74.784783,,,,,"Excluded as part of cascade complex, not linked to power house",http://waterresources.kar.nic.in/DAm_safety_go.htm,https://sirsiattractions.blogspot.com/2014/06/tattihalla-dam.html#.XS8ia-hKiHs,http://waterresources.kar.nic.in/DAm_safety_go.htm,,,,,,,,"The Kali Hydro Electric project consists of five dams - Supa gravity dam (101 m), Kodasalli Dam, Kadra Dam, Bommanahalli pickup dam from where water is diverted to the Nagzari power house, and Tattihalla storage dam. The Tattahalli storgae dam replenishes the Bommanahalli Dam and helps integrate operations of other reservoirs.",
Periyar Valley Barrage,Not hydro,119,India,IND,,,Irrigation,Kerala,Kerala Irrigation Department,Cochin,,Periyar,Periyar,3048,,Operational since 1964,1964,,11.79,,,169.79,16.4,,,,,Run-of-River,,,10.137688,76.662123,,,,,"Non-Hydro, excluded",http://www.irrigation.kerala.gov.in/index.php/infrastructure/irrigation-schemes/storage-schemes/189-periyar-valley-scheme,http://www.indiaenvironmentportal.org.in/files/file/NRLD%202018.pdf,,,,,,,,,The purpose of this barrage is for irrigation and seve as the diversion channel.,
Erattayar,Unable to match with a hydropower station,168,India,IND,,,Hydropower,Kerala,Kerala State Electricity Board,Kattappana,,Perinjankutty,Periyar,,,Operational since 1989,1991,,20,,,5.351,0.97,,,,,Storage,,,9.8097222,77.1055556,,,,,Unable to match dam with a hydropower station,http://www.indiaenvironmentportal.org.in/files/file/NRLD%202018.pdf,,,,,,,,,,,
Kullar (Sabangin Aug),"Part of cascade system, not directly linked to hydro station",173,India,IND,,,Hydropower,Kerala,Kerala State Electricity Board,Vandiperiyar,Pathanamthitta ,Kullar,Pamba ,,,Operational since 1990,1990,,24,,,2.78,,,,,,,,,,,,,,,"Excluded as part of cascade complex, not linked to power house",http://www.indiaenvironmentportal.org.in/files/file/NRLD%202018.pdf,http://nwa.mah.nic.in/sdmc/assets//%20in%20Kerala.xlsx,,,,,,,,,Part of Sabangrin project,
Upper Moozhiyar,"Part of cascade system, not directly linked to hydro station",154,India,IND,Sabarigiri Reservoir,,Hydropower,Kerala,Kerala State Electricity Board,Vandiperlyar ,,Moozhiyar ,Pamba ,,,Operational since 1979,1979,,18,,,5.99,,,,,,,,,,,,,,,"Excluded as part of cascade complex, not linked to power house",http://www.indiaenvironmentportal.org.in/files/file/NRLD%202018.pdf,http://kseb.in/index.php?option=com_jdownloads&view=download&id=10681:emergency-action-plan-tier-i-moozhiyar-dam&catid=3:notifications&lang=en,,,,,,,,,Moozhiyar dam is constructed as part of Kakkad Hydro Electric Project (50MW0. It is a diversion structure which diverts the inflow of own catchment plus the tail water of Sabarigiri HEP to generate power from Kakkad Power Station. The reservoir spills to Moozhiyar stream which joins  Kakkad Ar and finally discharges to Pamba. The dam was constructed in 1999.,http://globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Veluthodu (Kakkad),"Part of cascade system, not directly linked to hydro station",172,India,IND,Veluthodu ,,Hydropower,Kerala,Kerala State Electricity Board,Vadssarikkara,Pathanamthitta,Veluthodu,Pamba ,,Operational ,Operational since 1990,1990,2,20.95,,,0.67,0.635,,,,,Run-of-River,,,9.301645,77.039381,,,,,"Excluded as part of cascade complex, not linked to power house",http://kseb.in/index.php?option=com_jdownloads&view=download&id=10681:emergency-action-plan-tier-i-moozhiyar-dam&catid=3:notifications&lang=en,,,,,,,,,,Part of Kadkad,
Gavi,Matched with hydro station,169,India,IND,,,Hydropower,Kerala,Kerala State Electricity Board ,Vandiperiyar,,Gaviar,Gaviar ,,Operational ,Operational since 1989,1989,,17.07,,,2.78,2.006,22.5,,,,Run-of-River,,,9.441307,77.15999,,,,,"Matched Dams, Stations and Reservoirs",http://www.indiaenvironmentportal.org.in/files/file/NRLD%202018.pdf,,,,,,,,,,,
Kadkad,Matched with hydro station,171,India,IND,Moozhiyar (Sabarigiri) Reservoir,,Hydropower,Kerala,Kerala State Electricity Board ,Vadasserikara ,Pathanamthitta,Moozhiyar ,Pamba ,,Operational ,Operational since 1990,1990,2,29.91,,,1.5,0.15,50,,,,Run-of-River,,262,9.3077778,77.0655556,9.3275,76.9717,,,"Matched Dams, Stations and Reservoirs","The Moozhiyar dam of the 50-MW Kakkad hydroelectric project at Seethathode, which utilises the tail race of the Moozhiyar power house of the Sabarigiri project",http://kseb.in/index.php?option=com_jdownloads&view=download&id=10681:emergency-action-plan-tier-i-moozhiyar-dam&catid=3:notifications&lang=en,http://globalenergyobservatory.org/geoid/43256,,,,,,,,Moozhiyar dam is constructed as part of Kakkad Hydro Electric Project (50MW). The Kakkad Hydro electric project is envisaged as tail race project of Sabarigiri Hydro Electric Project.,
Kulamavu,"Part of cascade system, not directly linked to hydro station",146,India,IND,Idukki,,Hydropower,Kerala,Kerala State Electricity Board ,Idukki,,Kilvalli thodu,Periyar,,,Operational since 1976,1977,,99.97,,,97.5,59.83,,110,,,Storage ,,,9.80138889,76.883333,,,,,"Excluded as part of cascade complex, not linked to power house",http://www.indiaenvironmentportal.org.in/files/file/NRLD%202018.pdf,https://www.expert-eyes.org/deepak/idukki.html,,,,,,,,,"The Idukki Hydroelectric project is the biggest hydroelectric Project in Kerala(India). Kulamavu dam is  one of the three  associated  the Idukki Hydroelectric project. The  of Idukki, Cheruthoni and Kulamavu extend to an area of 33 km2. The construction of these three  formed a 60 km2 artificial lake. The water stored in it was used for the production of electricity at the power house in Moolamattom.",
Kuttiyadi,Matched with hydro station,175,India,IND,Kuttiyadi Augmentation,,Hydropower,Kerala,Kerala State Electricity Board ,Kalpetta,Wayanad,Karamenthodu,,,Operational ,Operational since 1991,2006,6,38.5,,,209,12.77,100,,,,Storage ,,323,11.55,75.925,11.54835,75.8983,,,"Matched Dams, Stations and Reservoirs",http://www.indiaenvironmentportal.org.in/files/file/NRLD%202018.pdf,https://www.expert-eyes.org/.html,http://kseb.in/index.php?option=com_jdownloads&view=download&id=10687:emergency-action-plan-tier-i-kuttiyadi-augmentation--kuttiyadi-kottagiri-near-kottagiri-kosani-saddle-&catid=3:notifications&lang=en,http://globalenergyobservatory.org/geoid/3926,,,,,,,Kuttiyadi Augmentation (KA)  are constructed as part of Kuttiyadi Hydro Electric Project (225MW). These  are in Wayanad district. There are eight  altogether which create a single reservoir (Kuttiyadi Augmentation Reservoir). Water stored in this reservoir is diverted to Kuttiyadi reservoir (Kakkayam) of Kuttiyadi Hydro Electric Project. The other  are saddle  constructed along the periphery of reservoir. The saddle  except Kuttiyadi saddle are embankment . Kuttiyadi saddle is a concrete dam. ,
Lower Periyar,Matched with hydro station,177,India,IND,Pambla Reservoir,,Hydropower,Kerala,Kerala State Electricity Board ,Kothamangalam ,Idukki,Periyar,Periyar,181.3,Operational ,Operational since 1996,1997,3,39,,,5.3,0.445,180,,,,Run-of-River,,493,9.962476,76.957087,9.627326,77.191392,,,"Matched Dams, Stations and Reservoirs",http://globalenergyobservatory.org/geoid/4101,https://www.expert-eyes.org/.html,http://kseb.in/index.php?option=com_jdownloads&view=download&id=9965:emergency-action-plan-tier-i-lower-periyar-dam&catid=3:notifications&lang=en,http://www.kseb.in/index.php?option=com_content&view=article&id=72&Itemid=723&lang=en,,,,,,,Lower Periyar Dam is constructed as part of Lower Periyar Hydro Electric Project (180MW). Lower Periyar dam is located in the downstream of Kallarkutty and Idukki . Lower Periyar dam reservoir stores water from its own catchment as well as routed spills from Kallarkutty & Idukki  and tail race releases from Neriyamagalam Power Station. The downstream reservoirs is Bhoothathankettu.,
Pamba,"Part of cascade system, not directly linked to hydro station",135,India,IND,Pamba,,Hydropower,Kerala,Kerala State Electricity Board ,Vandiperiyar,Pathanam-Thitta,Pamba,Pamba ,90.88,,Operational since 1967,1967,,57.2,,,39.22,2.006,,,,,,,,,,,,,,"Excluded as part of cascade complex, not linked to power house",http://www.indiaenvironmentportal.org.in/files/file/NRLD%202018.pdf,http://kseb.in/index.php?option=com_content&view=article&id=70:pamba-basin-hydro-electric-projects&catid=2&Itemid=717&lang=en,http://kseb.in/index.php?option=com_jdownloads&view=download&id=10682:emergency-action-plan-tier-i-pamba-anathode-kakki-&catid=3:notifications&lang=en,,,,,,,,"This reservoir is formed by the Pamda dam constructed across Pamba river. The water from this reservoir is flowing to the Kakki reservoir through an underground tunnel of length 3.21 km. Pumba create separate reservoir. Spill from Pamba reservoir flows to Pamba river and spill from Kakki. It is a concrete dam, constructed during 1967.",
Sholayar (Saddle),"Part of cascade system, not directly linked to hydro station",123,India,IND,Sholayar,,Hydropower,Kerala,Kerala State Electricity Board ,Chalakudy,,Chalakudy,Chalakkudy ,,Operational ,Operational since 1965,1965,3,19,,,153.47,8.698,54,110,,,Storage ,,210,10.317976,76.734196,10.3046,76.7305,,,"Excluded as part of cascade complex, not linked to power house",http://164.100.229.55/sites/default/files/admin/updation-lsc.pdf,http://www.fao.org/3/v5930e/V5930E05.htm,,,,,,,,,"Part of Sholayar project. The generation of this dam is found under the name 'Sholayar' dam. Various names - Sholayar ( Flanaking), Sholayar (Saddle) and Sholayar (Main) are recorded in the dam registrations although there is only one generation found as 'Sholayar' generation in Kerala State.",
Idamalayar,Matched with hydro station,159,India,IND,Idamalayar ,,Hydropower,Kerala,Kerala State Electricity Board Limited (KSEB),Kothamangalam ,,Idamalayar,,381,Operational ,Operational since 1985,1985,2,101.6,,,1020,28.3,75,,,110,Storage ,,380,10.221678,76.705962,10.207,76.7137,,,"Matched Dams, Stations and Reservoirs",http://cea.nic.in/reports/others/god/opm/generation19_20.pdf,http://www.indiaenvironmentportal.org.in/files/file/NRLD%202018.pdf,http://globalenergyobservatory.org/geoid/41890,https://www.swapdial.com/public/knowledge-contents/industrial-data/idamalayar-hydroelectric-project/,,,,,,,The first unit was commissioned in 1985 and the last in 1987. The basin of power project is westgoing rivers from Tadri to Kanyakumari. The Hydroelectric Basin is West flowing rivers and the Idamalayar Hydroelectric project is located in the South Hydroelectric Region. ,
Idukki,Matched with hydro station,142,India,IND,Idukki,,Hydropower,Kerala,Kerala State Electricity Board Limited (KSEB),Idukki,Idukki,Periyar,Periyar,60,Operational ,Operational since 1974,1974,6,169.16,,,1996,59.83,780,110,1,220,Storage,,2398,9.84305556,76.9763889,9.78877,76.859818,,,"Matched Dams, Stations and Reservoirs",http://www.indiaenvironmentportal.org.in/files/file/NRLD%202018.pdf,http://cea.nic.in/reports/monthly/transmission/2019/construction_tx-04.pdf,http://globalenergyobservatory.org/geoid/3629,http://www.indiaenvironmentportal.org.in/files/file/NRLD%202018.pdf,,,,,,,"KSEB currently focuses on two PSPs, namely Idukki at Kulamava (300MW) and Pallivasal at Munnar (600MW). KSEB plans to prepare their DPRs for 2 to 3 years and to be commissioned by 2027. KSEB commenced the survey and investigation for both PSPs from May 2016, and preparation of PFT for Idukki PSP has been commenced. [ PSP = Pumped Storage Projects ]. Three  such as Idukki, Cheruthoni & Kulamavu form a single reservoir. Idukki Reservoir is created as part of Idukki Hydro Electric Project (780MW). Transmission Line: LILO of Idukki-Udumalpet at Pallivasal HEP is to be revised on Jun 2017. However, the extension HEP work is yet to start.Idukki Project comprises of three  at Idukki, Cheruthony and Kulamavu. The power house at Moolamattom  is the longest underground power station in India and the pressure shaft is the largest in the country. Number of Substation Connected to One double circuit line to Kalamassery; one single circuit line to Tamil Nadu; One single circuit line to Pallom, 3 feeder bays for future.",
Kundala,Matched with hydro station,102,India,IND,Kundala ,Kundle Lake ,Hydropower,Kerala,Kerala State Electricity Board Limited (KSEB),Munnar,,Palar,Mudirapuzha ,,Operational ,Operational since 1947,1947,,46.93,,,7.65,0.647.5,100,,,,Storage ,,,10.143556,77.198465,,,,,"Matched Dams, Stations and Reservoirs",http://www.indiaenvironmentportal.org.in/files/file/NRLD%202018.pdf,http://www.kseb.in/index.php?option=com_content&view=article&id=72:mudirappuzha-basin-hydro-electric-projects&catid=2&Itemid=723&lang=en,,,,,,,,,This dam is also called as 'Setuparvatipuram (Kundala)Dam'. This is a masonry arch dam.,
Neriamangalam (Kallarkutty),Matched with hydro station,114,India,IND,Kallarkutty,,Hydropower,Kerala,Kerala State Electricity Board Limited (KSEB),Munnar,Idukki,Mucdria Puzha,,281.24,Operational ,Operational since 1962,1961,4,43,,,6.88,0.647,225,110,,,Storage ,,323,9.980025,77.001421,9.953342,76.979432,,,"Matched Dams, Stations and Reservoirs",http://www.kseb.in/index.php?option=com_content&view=article&id=72:mudirappuzha-basin-hydro-electric-projects&catid=2&Itemid=723&lang=en,http://kseb.in/index.php?option=com_jdownloads&view=download&id=9966:emergency-action-plan-tier-i-kallarkutty-dam&catid=3:notifications&lang=en,,,,,,,,,"The power station has done a renovation. Before revovation, the transmission lines from this stations include one feeder to Sengulam, one feeder to Muvattupuzha/Adimali, one feeder to Udumbannoor, and two feeders to Kuthungal Powerhouse, at all at 110kV level. The generating units in the station were renovated during 2004 - 2006 period after 43 years of operation. The capacity of the units were raised to 17.55 MW each, raising the installed capacity to 52.65 MW. The installed capacity is taken after the renovation period. This station data can not be found on the IHA Sugar. Kallarkutty reservoir stores water from its own catchment as well as routed spills from Ponmudi& Maduppetty  and tial race releases from Panniyar/Pallivasl/Sengulam Power Stations. The type of dam is masonry gravity dam.",
Pallivasal,Matched with hydro station,104,India,IND,Madupetty,,Hydropower,Kerala,Kerala State Electricity Board Limited (KSEB),Munnar,Mattupetty,Palar,Mudirapuzha ,,Operational ,Operational since 1957,1956,6,83.35,,,55.23,3.238,37.5,,,,Storage ,,284,10.108333,77.125,10.105999,77.123648,,,"Matched Dams, Stations and Reservoirs",http://www.indiaenvironmentportal.org.in/files/file/NRLD%202018.pdf,http://www.kseb.in/index.php?option=com_content&view=article&id=68:power-projects-in-kerala&catid=2&Itemid=713&lang=en,http://www.cea.nic.in/reports/monthly/executivesummary/2018/exe_summary-04.pdf,,,,,,,,The Annual total generation is taken from the Net_geneation value the CEA monthly executvie summary 2018 because there is no information at the CEA generation target annual report. ,
Panniyar,Matched with hydro station,117,India,IND,Ponmudi ,,Hydropower,Kerala,Kerala State Electricity Board Limited (KSEB),Munnar,Idukki,Panniar ,,,Operational ,Operational since 1963,1963,2,59,,,51.54,2.787,32.4,110,,,Storage,,,9.96031,77.05652,9.97337,77.027845,,,"Matched Dams, Stations and Reservoirs",http://open_jicareport.jica.go.jp/pdf/12270633_03.pdf,http://kseb.in/index.php?option=com_content&view=article&id=72&Itemid=50&lang=en,http://kseb.in/index.php?option=com_jdownloads&view=download&id=9967:emergency-action-plan-tier-i-ponmudi-dam&catid=3:notifications&lang=en,http://www.fao.org/3/v5930e/V5930E05.htm,,,,,,,"This reservoir is cascade  the above reservoir,Kallarkutty. Ponmudi as upper reservoir and Kallarkutty as lower reservoir. On the other hand, Ponmudi dam is located in the downstream of Anayirankal dam.Ponmudi dam aross the Panniyar river is the second dam for the project Panniyar power station-. The intake for the powerhouse is taken from this reservoir. The power generated is evacuated using two feeders at 110 kV level to the switch yard of Sengulam Power Station. ",
Poringalkuthu,Matched with hydro station,103,India,IND,Poringalkuthu,,Hydropower,Kerala,Kerala State Electricity Board Limited (KSEB),Chalakkudy,Thrissur ,Chalagudy,Chalakkudy ,1704,Operational ,Operational since 1957,1957,4,36.89,,,32,2.82,32,,,,Storage,,170,10.31388889,76.63805556,10.310577,76.616162,,,"Matched Dams, Stations and Reservoirs",http://www.indiaenvironmentportal.org.in/files/file/NRLD%202018.pdf,http://www.cea.nic.in/reports/monthly/executivesummary/2018/exe_summary-04.pdf,,,,,,,,,"There is another hydropower station left bank which has the installed Capacity of 36MW. The price of the electricity is 541/ KWh ( The unit has not given, but it can be assumed that the unit for Indian Money is Rupee.)",
Sholayar (Flanaking Dam),Matched with hydro station,122,India,IND,Sholayar,,Hydropower,Kerala,Kerala State Electricity Board Limited (KSEB),Chalakudy,,Chalakudy,Chalakudy,186.69,Operational ,Operational since 1965,1965,3,27.74,,,153.48,8.705,54,110,,,Storage,,223,10.322018,76.735276,10.304586,76.730561,,,"Matched Dams, Stations and Reservoirs",http://cea.nic.in/reports/others/god/opm/generation19_20.pdf,http://kseb.in/index.php?option=com_content&view=article&id=73:chalakudy-basin-hydro-electric-projects&catid=10&Itemid=726&lang=en,http://cea.nic.in/reports/others/god/opm/generation19_20.pdf,,,,,,,,The tail race discharge joins Chalakudi river and flows to Poringalkuthu reservoir for power generation in the Poringalkuthu Powerhouse. The Annual total generation is taken from the annual report of CEA_2019,
Chulliar (Gyathristage Stage II),Not hydro,128,India,IND,Chulliyar ,,Irrigation,Kerala,Kerela Irrigation Department,Palakkad,,Chulliyar,Bharathapuzha,,,Operational since 1966,1966,,30.5,,,13.7,1.65,,,,,Storage,,,10.593316,76.767669,,,,,"Non-Hydro, excluded",http://www.indiaenvironmentportal.org.in/files/file/NRLD%202018.pdf,http://164.100.229.55/sites/default/files/admin/updation-lsc.pdf,,,,,,,,,Irrigation project. Non-powered dam,
Anayirankal,"Part of cascade system, not directly linked to hydro station",125,India,IND,Anayirankal ,,Hydropower,Kerala,Kerela State Electricity Board,Munnar,Idukki,Panniar,Mudirapuzha ,,,Operational since 1965,1965,,34.13,,,49.84,4.855,,,,,Storage,,,10.0097222,77.2072222,,,,,"Excluded as part of cascade complex, not linked to power house",http://kseb.in/index.php?option=com_jdownloads&view=download&id=9968:emergency-action-plan-tier-i-anayirankal-dam&catid=3:notifications&lang=en,http://www.indiaenvironmentportal.org.in/files/file/NRLD%202018.pdf,,,,,,,,,Part of Panniyar. Anayirankal Dam is constructed as part of Panniyar Hydro Electric Project. It is an Earth & Rockfill Dam  masonry spillway structure. Anayirankal is an augmentation reservoir and is located in the upstream of Ponmudi reservoir from which water is drawn to Panniyar Power Station.,
Sabarigiri,Matched with hydro station,129,India,IND,Kakki,,Hydropower,Kerala,Kerela State Electricity Board,Vandiperiyar,,Kakki,Pamba ,225.51,Operational ,Operational since 1966,1966,6,116.13,,,455,17.511,300,,,,Storage,,1338,9.325,77.14166667,9.309873,77.072958,,,"Matched Dams, Stations and Reservoirs",http://www.indiaenvironmentportal.org.in/files/file/NRLD%202018.pdf,http://kseb.in/index.php?option=com_content&view=article&id=70:pamba-basin-hydro-electric-projects&catid=2&Itemid=717&lang=en,,,,,,,,,There are three major  constructed as part of Sabarigiri Hydro Electric Project. This reservoir is formed by construction of a dam across Kakki river. The water received from the Pamba reservoir and the rainfall received in its own catchment area form the water resource of this reservoir. The intake of the Powerhouse is from this reservoir. The water stored in the reservoir is diverted through a tunnel to Sabarigiri Power Station. Maximum release to power house is about 55 m3/s.,
Cheruthoni,"Part of cascade system, not directly linked to hydro station",144,India,IND,Idukki,,Hydropower,Kerala,,Idukki,,Cheruthoni,,,,Operational since 1975,,,138.38,,,1460,60,,,,,Storage,,,9.845906,76.967084,,,,,"Excluded as part of cascade complex, not linked to power house",,,,,,,,,,,Part of Idukki,
Birsinghpur,Matched with hydro station,167,India,IND,,,Hydropower,Madhya Pradesh,Madhya Pradesh Power Generating Company Limited (MPPGCL),Shahdol,,Local,,,Operational ,Operational since 1988,1988,1,45,,,171,18.5,20,,,,Storage,,,23.324819,81.033633,23.325516,81.033308,,,"Matched Dams, Stations and Reservoirs",http://www.mppgcl.mp.gov.in/hydel-generation.html,,,,,,,,,,,
Gandhi Sagar,Matched with hydro station,22,India,IND,Gandhi Sagar,,"Irrigation, Hydropower",Madhya Pradesh,Madhya Pradesh Power Generating Company Limited (MPPGCL),Mandasur,,Chambal,,,Operational ,Operational since 1960,1960,5,62.17,,,7320,60,115,132,,,Storage,,420.48,24.700116,75.552611,24.700116,75.552611,,,"Matched Dams, Stations and Reservoirs",http://www.cea.nic.in/reports/annual/hydroreview/hydro_review-2018.pdf,,,,,,,,,,,
Hathaikheda,Matched with hydro station,31,India,IND,,,"Irrigation, Hydropower",Madhya Pradesh,Madhya Pradesh Power Generating Company Limited (MPPGCL),Bhopal,,Ajnal,,,Operational ,Operational since 1962,1962,3,17.37,,,16.277,3.13,60,,,,Storage,,74.12,23.265245,77.49786,,,,,"Matched Dams, Stations and Reservoirs",http://www.cea.nic.in/reports/annual/hydroreview/hydro_review-2018.pdf,,,,,,,,,,,
Bargi Dam (R.A.B.S. Project),Matched with hydro station,77,India,IND,Rani Avantibai Lodhi Sagar,,"Irrigation, Hydropower",Madhya Pradesh,Narmada Valley Development Authority,Jabalpur,,Narmada,,,Operational ,Operational since 1988,1988,2,69.8,,,392,267.97,90,,,,Storage,,,22.941007,79.923136,22.943074,79.924271,,,"Matched Dams, Stations and Reservoirs",http://www.mpsdc.gov.in/nvda/salient%20feature/Rani%20Awanti%20Bai%20Sagar.pdf,http://www.ahec.org.in/testing/Rani_Avanti_Bai_Lodhi_Sagar.html,,,,,,,,,,
Indira Sagar,Matched with hydro station,91,India,IND,Indira Sagar,,"Irrigation, Hydropower",Madhya Pradesh,NHDC,Punasa,,Narmada,,,Operational ,Operational since 2004-2006,2004,8,92,,,12220,913.48,1000,,,,Storage,,1980,22.284469,76.471916,22.288708,76.46986,,,"Matched Dams, Stations and Reservoirs",http://www.cea.nic.in/reports/annual/hydroreview/hydro_review-2018.pdf,,,,,,,,,,,
